X_val,tokens,Y_val,ccn_prediction
happy presidents day hd74 txlege __link__,6,0,0
masenate saldidomenico majuanjaramillo endhomelessma go rwbranca,6,13,0
love this go team saturdaymorning __link__,6,0,0
cape cod supports beth lindstrom __link__,6,0,0
a pleasure njleague njsenatepres vincentprieto jonbramnick,6,0,0
gwenbowman we all got it done,6,0,0
that s one tough puppy __link__,6,0,0
jobs wages and the sequester __link__,6,1,1
kellytownsend11 total fun ok not really,6,0,0
progfeminist yes sign up here __link__,6,0,0
thank you dr king mlkday __link__,6,0,0
chrismquinn keep me in the loop,6,0,0
lb1018 replancenj7 tonybucco wildstein we shouldv,6,0,0
lets plough the road for impeachment,6,19,19
jgoldny matthamilton10 aw a legislative meetcute,6,0,0
happy rosh hashanah shanah tovah umetukah,6,0,0
thank you for your vote __link__,6,0,19
well done go marc go __link__,6,0,0
latest emmetts virginian voice __link__ __link__,6,0,0
thanks for being with us __link__,6,0,0
jonathantill1 handyman dan at your service,6,0,0
speakeasily hi keri looking into thisthanks,6,0,0
rfdstrack jkern78 jgrigoli chulavistafire cafirefighters congrats,6,0,0
taxes do nt cover americas expenses __link__,7,1,1
thanks for your fearless leadership senator __link__,7,0,0
happy first day of fall sangabrielvalley __link__,7,0,0
church then brunch teamdubose minus __num__ __link__,7,0,0
nevada was __num__ in __year__ whohasnext __link__,7,0,0
rt lizabethverse i demand it obamafarewell __link__,7,0,0
big news in florida rail service __link__,7,0,10
tonight in new providence we remember __link__,7,0,0
cacheaux she really was in every way,7,0,0
robwoodfork you clearly do nt have kids,7,0,0
but why would they do that __link__,7,0,0
what theyre saying about chris stolle __link__,7,0,19
i really like this one __link__ __link__,7,0,0
jay and dan playing in the snow __link__,8,0,0
this is what democracy looks like marchforourlives __link__,8,21,11
israel has a right to defend itself __link__,8,18,18
wow marshawnlynch24 beastmode indeed what an incredible run,8,0,0
patience is a virtue i do nt possess,8,0,11
new goal gov of mass bethmyers201 lol __link__,8,0,0
great tips on networking in business 5mistakes __link__,8,0,14
letter doctorate does not always mean success __link__,8,6,0
thank you for your huge support moodyforelpaso __link__,8,0,0
news on barrington __num__ drills __link__ via youtube,8,0,15
build the wall tv ad __link__ via youtube,8,9,16
yes kids you are the change neveragain parklandstrong,8,0,11
ashjuergens calebtgoodman benjaminkutley we got this team nothingbutnet,8,0,0
ready for another year of hard work __link__,8,0,19
medicaid reform passed in the senate16b of reforms,8,3,3
guess what i just did vote voteearly __link__,8,19,19
i m attending arizona mining alliance __link__ constantcontact,8,0,8
⁦texasmascot⁩ bevo joined us for inaugurationday txlege __link__,8,0,0
may is mental health awareness month __link__ stopthestigma,8,3,3
the second amendment may be the problem __link__,8,21,11
he should give up his pet projects __link__,8,0,4
wrapping up veto session watch live __link__ __link__,8,0,1
